Compared_TF overlap proportion_of_compared_TF
wgEncodeHaibTfbsEcc1Tcf12V0422111PkRep1.broadPeak 44651 27542 0.61682829052
wgEncodeHaibTfbsEcc1Nficsc81335V0422111PkRep2.broadPeak 62200 21882 0.351800643087
wgEncodeUwTfbsHcpeCtcfStdHotspotsRep1.broadPeak 233119 20369 0.0873759753602
wgEncodeSydhTfbsMcf10aesCmycEtoh01HvdPk.narrowPeak 115937 20200 0.174232557337
wgEncodeOpenChromChipMcf7Pol2PkRep1.narrowPeak 157267 19427 0.123528775903
wgEncodeUwTfbsAg04449CtcfStdHotspotsRep1.broadPeak 196356 19411 0.098856159221
wgEncodeOpenChromChipMcf7CmycVehPkRep1.narrowPeak 50051 19163 0.382869473137
wgEncodeHaibTfbsMcf7MaxV0422111PkRep1.broadPeak 29530 18957 0.641957331527
wgEncodeSydhTfbsHelas3Smc3ab9263IggrabPk.narrowPeak 77466 18801 0.242700023236
wgEncodeHaibTfbsT47dFoxa1sc6553V0416102Dm002p1hPkRep2.broadPeak 61952 18733 0.302379261364
wgEncodeSydhTfbsK562Mazab85725IggrabPk.narrowPeak 75323 18717 0.248489837102
wgEncodeOpenChromChipMcf7CmycSerumstimPkRep1.narrowPeak 65857 18424 0.279757656741
wgEncodeSydhTfbsK562Corestsc30189IggrabPk.narrowPeak 111692 18402 0.164756652222
wgEncodeHaibTfbsA549MaxV0422111PkRep1.broadPeak 32499 18321 0.563740422782
wgEncodeUwTfbsHmecCtcfStdHotspotsRep1.broadPeak 195006 18173 0.0931920043486
wgEncodeOpenChromChipMcf7Pol2SerumstimPkRep1.narrowPeak 106386 18123 0.170351362021
wgEncodeSydhTfbsH1hescSin3anb6001263IggrabPk.narrowPeak 45929 18071 0.393455115504
wgEncodeUwTfbsHbmecCtcfStdHotspotsRep1.broadPeak 273753 18013 0.065800192144
wgEncodeOpenChromChipHepg2CmycPk.narrowPeak 51445 18001 0.349907668384
wgEncodeSydhTfbsHelas3MaxIggrabPk.narrowPeak 44972 17917 0.398403451036
wgEncodeOpenChromChipHuvecPol2Pk.narrowPeak 158513 17803 0.112312554806
wgEncodeSydhTfbsK562JundIggrabPk.narrowPeak 98704 17754 0.179871129843
wgEncodeOpenChromChipProgfibPol2PkRep1.narrowPeak 140374 17647 0.125714163592
wgEncodeUwTfbsSknshraCtcfStdHotspotsRep1.broadPeak 200288 17587 0.0878085556798
wgEncodeSydhTfbsMcf10aesPol2Etoh01StdPk.narrowPeak 159801 17542 0.109774031452
wgEncodeOpenChromChipH1hescPol2Pk.narrowPeak 173091 17540 0.101333980392
wgEncodeUwTfbsSaecCtcfStdHotspotsRep2.broadPeak 188926 17533 0.0928035315415
wgEncodeUwTfbsSknshraCtcfStdHotspotsRep2.broadPeak 205154 17488 0.0852432806575
wgEncodeSydhTfbsHelas3Corestsc30189IggrabPk.narrowPeak 52506 17473 0.332781015503
wgEncodeHaibTfbsK562MaxV0416102PkRep2.broadPeak 65984 17452 0.264488360815
wgEncodeHaibTfbsEcc1MaxV0422111PkRep2.broadPeak 29326 17387 0.592886858078
wgEncodeSydhTfbsHelas3Rfx5200401194IggrabPk.narrowPeak 49099 17346 0.353286217642
wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02PkRep2.broadPeak 52728 17339 0.328838567744
wgEncodeSydhTfbsGm12878Znf143166181apStdPk.narrowPeak 81743 17296 0.21158998324
wgEncodeSydhTfbsHelas3Mazab85725IggrabPk.narrowPeak 39402 17204 0.436627582356
wgEncodeOpenChromChipK562Pol2Pk.narrowPeak 197026 17172 0.0871560098667
wgEncodeSydhTfbsK562CmycIggrabPk.narrowPeak 64088 17138 0.26741355636
wgEncodeSydhTfbsK562Bhlhe40nb100IggrabPk.narrowPeak 78072 17132 0.219438467056
wgEncodeUwTfbsHuvecCtcfStdHotspotsRep1.broadPeak 159454 17108 0.107291130984
wgEncodeHaibTfbsHct116Pol24h8V0416101PkRep2.broadPeak 42690 17103 0.40063246662
wgEncodeOpenChromChipHelas3Pol2Pk.narrowPeak 131508 17063 0.129748760532
wgEncodeHaibTfbsA549Tcf12V0422111Etoh02PkRep2.broadPeak 39330 17054 0.433613018052
wgEncodeOpenChromChipMcf7Pol2SerumstvdPkRep1.narrowPeak 110215 16956 0.153844757973
wgEncodeOpenChromChipHepg2Pol2Pk.narrowPeak 252660 16816 0.0665558458007
wgEncodeSydhTfbsMcf10aesE2f4TamHvdPk.narrowPeak 132178 16687 0.126246425275
wgEncodeSydhTfbsHelas3Chd2IggrabPk.narrowPeak 36962 16682 0.451328391321
wgEncodeSydhTfbsMcf10aesCmycTam14hHvdPk.narrowPeak 113469 16645 0.146692048048
wgEncodeUwTfbsWerirb1CtcfStdHotspotsRep1.broadPeak 254676 16621 0.065263314957
wgEncodeUwTfbsAg04449CtcfStdHotspotsRep2.broadPeak 245177 16611 0.0677510533207
wgEncodeOpenChromChipHuvecCmycPk.narrowPeak 58520 16608 0.283800410116
wgEncodeHaibTfbsA549MaxV0422111PkRep2.broadPeak 27729 16414 0.591943452703
wgEncodeUwTfbsSaecCtcfStdHotspotsRep1.broadPeak 186278 16373 0.0878955110104
wgEncodeUwTfbsNhekCtcfStdHotspotsRep1.broadPeak 174729 16317 0.0933846127432
wgEncodeSydhTfbsMcf10aesPol2TamStdPk.narrowPeak 282246 16282 0.0576872657186
wgEncodeSydhTfbsHepg2Corestsc30189IggrabPk.narrowPeak 51883 16166 0.311585683172
wgEncodeUwTfbsHeeCtcfStdHotspotsRep1.broadPeak 258130 16098 0.062363925154
wgEncodeUwTfbsHepg2CtcfStdHotspotsRep1.broadPeak 269553 16010 0.0593946274017
wgEncodeHaibTfbsMcf7Pmlsc71910V0422111PkRep2.broadPeak 15980 16004 1.00150187735
wgEncodeSydhTfbsHepg2Mazab85725IggrabPk.narrowPeak 59317 15975 0.269315710505
wgEncodeSydhTfbsH1hescZnf143IggrabPk.narrowPeak 83206 15932 0.191476576208
wgEncodeHaibTfbsEcc1Pol2V0416102Dm002p1hPkRep2.broadPeak 35977 15868 0.441059565834
wgEncodeHaibTfbsHct116Pol24h8V0416101PkRep1.broadPeak 34980 15792 0.451457975986
wgEncodeSydhTfbsGm12878Mazab85725IggmusPk.narrowPeak 48071 15728 0.32718270891
wgEncodeHaibTfbsHelas3Pol2Pcr1xPkRep2.broadPeak 54266 15655 0.288486345041
wgEncodeSydhTfbsK562MaxIggrabPk.narrowPeak 44065 15592 0.353840916827
wgEncodeHaibTfbsK562MaxV0416102PkRep1.broadPeak 45359 15586 0.343614277211
wgEncodeSydhTfbsK562Ubtfsab1404509IggmusPk.narrowPeak 48825 15558 0.318648233487
wgEncodeHaibTfbsA549Creb1sc240V0416102Dex100nmPkRep1.broadPeak 26524 15548 0.586186095612
wgEncodeHaibTfbsGm12878Runx3sc101553V0422111PkRep2.broadPeak 71043 15508 0.218290331208
wgEncodeUwTfbsHek293CtcfStdHotspotsRep1.broadPeak 250687 15496 0.0618141347577
wgEncodeSydhTfbsK562Hcfc1nb10068209IggrabPk.narrowPeak 42132 15470 0.367179341118
wgEncodeUwTfbsGm12871CtcfStdHotspotsRep2.broadPeak 224658 15463 0.0688290646227
wgEncodeOpenChromChipGlioblaPol2PkRep1.narrowPeak 78304 15445 0.197244074377
wgEncodeSydhTfbsHelas3Pol2s2IggrabPk.narrowPeak 69218 15403 0.222528821983
wgEncodeUchicagoTfbsK562EjundControlPk.narrowPeak 77488 15394 0.19866301879
wgEncodeSydhTfbsNb4MaxStdPk.narrowPeak 75358 15365 0.20389341543
wgEncodeHaibTfbsA549Pol2Pcr2xDex100nmPkRep2.broadPeak 40596 15340 0.377869740861
wgEncodeHaibTfbsEcc1MaxV0422111PkRep1.broadPeak 23676 15285 0.645590471363
wgEncodeSydhTfbsHepg2MaxIggrabPk.narrowPeak 41267 15280 0.370271645625
wgEncodeUwTfbsBjCtcfStdHotspotsRep1.broadPeak 184855 15256 0.082529550188
wgEncodeHaibTfbsGm12878Runx3sc101553V0422111PkRep1.broadPeak 83115 15247 0.183444624917
wgEncodeHaibTfbsK562E2f6V0416102PkRep2.broadPeak 41943 15215 0.362754214052
wgEncodeHaibTfbsK562E2f6sc22823V0416102PkRep2.broadPeak 41943 15215 0.362754214052
wgEncodeUwTfbsGm12873CtcfStdHotspotsRep1.broadPeak 183982 15171 0.0824591536129
wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02PkRep1.broadPeak 37374 15162 0.4056830952
wgEncodeSydhTfbsHelas3Mxi1af4185IggrabPk.narrowPeak 32138 15161 0.471746841745
